id,name,email,emailVerified,role
cmfydphk00000tjvkp7o0r8me,Martina Pear,martina@pear.com,,INSTRUCTOR
cmfydphpj0001tjvkjjc1de0d,Laura Lemon,laura@lemon.com,,STUDENT
cmfydphst0002tjvku2fgs2d6,Tim Apple,tim@apple.com,,STUDENT
cmfydphwe0003tjvkuorgzfqw,David Dragonfruit,david@dragonfruit.com,,STUDENT
cmfydpi030004tjvkgnktn24w,Sarah Strawberry,sarah@strawberry.com,,STUDENT
cmfydpi4z0005tjvkxbauzsuk,Melody Melon,melody@melon.com,,STUDENT
cmfydpi8f0006tjvki9eqydlq,Mira Mango,mira@mango.com,,STUDENT
cmfydpibz0007tjvkqyg0kuhm,Anthony Avocado,anthony@avocado.com,,STUDENT
cmfydpifa0008tjvkv55v42rt,Jared Pineapple,jared@pineapple.com,,STUDENT
cmfydpiit0009tjvkjcdoue5m,Charlie Coconut,charlie@coconut.com,,STUDENT
cmfydpils000atjvku5ozryiy,Emily Blueberry,emily@blueberry.com,,ADMIN
cmfydpip6000btjvkb6zpc5nc,Gary Grape,gary@grape.com,,INSTRUCTOR
cmfydpisg000ctjvkuacexyor,John Banana,john@banana.com,,ADMIN
cmfydpivz000dtjvk4hhsk8cc,Wayhem Watermelon,wayhem@watermelon.com,,ADMIN
cmfydpizr000etjvkavx5rd0t,Ruby Raspberry,ruby@raspberry.com,,INSTRUCTOR
